================================================================================
Byte-by-byte Description of file: plan_bin500au.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Explanations
--------------------------------------------------------------------------------
   1- 15 A15    ---     Most commonly used name of the parent star
  16- 25 A10    ---     Alternate name (if any, otherwise "X")
  26- 31 F6.3   Msun    Mass of the parent star
  32- 37 F6.3   Msun    Mass of the companion star
  38- 45 F8.2   pc      Distance to the system
  46- 47 I2     ---     Method of detection (1=transit, 2=RV, 3=other)
  48- 54 F7.2   au      semi-major axis of the binary (if orbit known) or projected separation between the 2 stars
  55- 61 F7.3   ---     eccentricicy of the binary's orbit (if orbit unknown then e=99.)
  62- 63 I2     ---     Number of detected planets orbiting the star
  64- 71 F8.4   au      semi-major axis of the outermost planet in the system
  72- 77 F6.3   ---     eccentricity of the outermost planet in the system
  78- 86 F9.5   Mjup    estimated mass of the outermost planet in the system
  87- 93 F7.2   au      critical distance to parent star for orbital stability (assuming coplanarity and using empirical formula of Holman&Wiegert(1999))
  94-101 F8.3   deg     inclination between binary and planetary orbital planes (if unknown then 999.)

Note 1: complete for all S-type planet-hosting binaries of separation <500au
Note 2: when only the radius of the planet is known, its mass is (very) roughly estimated with a crude R_plan**3 scaling.
Note 3: for notes and references on individual systems, please go to exoplanet.eu/planets_binary_notes
--------------------------------------------------------------------------------
       HD181234         X 1.010 0.297   47.84 2 247.00 99.000 1  7.5200 0.730  8.37000  93.28 999.000
         HD1666         X 1.500 0.390  118.30 2 248.00 99.000 1  0.9400 0.630  6.43000  95.63 999.000
        HD80869         X 1.080 0.340   84.67 2 249.61 99.000 1  2.9050 0.924  5.06500  93.11 999.000
        TOI2152         X 1.520 0.500  302.80 1 250.00 99.000 1  0.0500 0.057  2.83000  92.49 999.000
        HD39855         X 0.870 0.598   23.28 2 250.00 99.000 1  0.0410 0.140  0.02670  77.30 999.000
        TOI1860         X 0.990 0.220   45.90 1 250.60 99.000 1  0.0204 0.000  0.00690  98.96 999.000
       HD156846         X 1.430 0.590   49.00 2 255.20 99.000 1  1.0960 0.848 10.45000  90.09 999.000
        HD65216         X 0.920 0.176   35.47 2 256.80 99.000 2  5.7500 0.170  2.03000 103.48 999.000
      Kepler536    KOI356 0.920 0.460  467.80 1 257.30 99.000 1  0.0280 0.000  0.04000  86.80 999.000
        TOI2977         X 0.978 0.734  342.60 1 260.00 99.000 1  0.0340 0.000  1.68000  78.28 999.000
      Kepler808         X 0.760 0.528  321.00 1 260.00 99.000 1  0.0116 0.000  0.00800  80.14 999.000
          HR858   HD17926 1.145 0.112   32.00 1 267.00 99.000 3  0.1027 0.280  0.00900 114.85 999.000
     Kepler1651   KOI1725 0.522 0.276   66.46 1 269.30 99.000 1  0.0619 0.130  0.00440  89.56 999.000
        HD86081         X 1.210 0.088   95.00 2 276.00 99.000 1  0.0390 0.008  1.50000 120.95 999.000
         WASP72         X 1.386 0.660  434.80 1 277.83 99.000 1  0.0378 0.000  1.46100  94.86 999.000
       Kepler14     KOI98 1.520 1.500  980.00 1 280.00 99.000 1  0.0700 0.035  8.40000  77.07 999.000
       HD154672         X 1.060 0.500   65.80 2 285.00 99.000 1  0.6000 0.610  5.02000  97.53 999.000
     Kepler1339         X 1.000 0.610  371.10 1 287.60 99.000 1  0.0230 0.000  0.00100  92.04 999.000
       HD233832         X 0.710 0.531   58.80 2 290.00 99.000 1  4.4380 0.381  2.72000  87.41 999.000
        TOI3714         X 0.530 1.070  112.50 1 302.00  0.990 1  0.0270 0.030  0.70000   2.69 999.000
       HD109271         X 1.047 0.600   56.00 2 304.00 99.000 2  0.1960 0.150  0.07600  98.97 999.000
        HD46375         X 0.910 0.570   29.64 2 309.40 99.000 1  0.0410 0.040  0.24900  98.28 999.000
       HD114729         X 0.930 0.253   37.91 2 310.70 99.000 1  2.0800 0.320  0.84000 118.91 999.000
      Kepler271   KOI1151 0.900 0.450  409.30 1 311.00 99.000 3  0.0930 0.000  0.00500 104.91 999.000
        TOI1201         X 0.512 0.460   37.63 1 316.20 99.000 1  0.0287 0.000  0.01970  89.85 999.000
         TOI762         X 0.440 0.227   98.78 1 319.00 99.000 1  0.0340 0.000  0.25100 106.76 999.000
          Kelt2   HD42176 1.310 0.780  134.00 1 320.00 99.000 1  0.0540 0.185  1.48600 103.10 999.000
       HIP88399  HD164249 1.290 0.440   49.29 3 320.10 99.000 1  8.0000 0.000  6.00000 117.59 999.000
      Kepler108    KOI119 1.300 0.960  313.00 1 327.00 99.000 2  0.7210 0.130  0.17000  98.94 999.000
         TOI837         X 1.118 0.393  143.10 1 330.00 99.000 1  0.0800 0.000  1.20000 120.50 999.000
       HD106515         X 0.910 0.925   34.12 2 331.00  0.420 1  4.5900 0.572  9.61000  46.45 999.000
       HD220842         X 1.130 0.110   62.57 2 340.00 99.000 1  0.7400 0.404  3.18000 146.30 999.000
          Kelt4      KOI7 1.200 0.900  219.40 1 342.00 99.000 1  0.0430 0.030  0.87800 102.99 999.000
         WASP77    TOI398 1.002 0.742  105.50 1 346.11 99.000 1  0.0240 0.000  1.76000 104.64 999.000
        LTT3780    TOI732 0.401 0.136   22.00 1 348.00 99.000 2  0.0770 0.115  0.02670 127.98 999.000
       HD103774         X 1.335 0.290   56.50 2 351.00 99.000 1  0.0700 0.090  0.36700 139.06 999.000
       HD183263         X 1.130 0.500   53.00 2 353.00 99.000 2  4.2500 0.253  3.82000 122.64 999.000
        TOI3984         X 0.490 0.750  108.40 1 356.00  0.640 1  0.0410 0.040  0.13800  24.76 999.000
        TOI4145         X 1.000 0.300  205.00 1 356.00 99.000 1  0.0480 0.000  0.43000 133.97 999.000
         TOI905         X 0.850 0.251  159.40 1 358.00 99.000 1  0.0460 0.024  0.66700 135.10 999.000
